Lophophorus,Lophophorus lhuysii,species
Macrothricidae,Macrothrix,genus
Portunidae,Thalamitoides,genus
Anonconotus,Anonconotus sibyllinus,species
Xenolechia,Xenolechia ontariensis,species
Anomala,Anomala spASolis186,species
Odocoileus,Odocoileus virginianus,species
Spionida,Spionidae,family
Bennelongia,Bennelongia scanloni,species
Diptera,Sepsidae,family
Hyphessobrycon,Hyphessobrycon sweglesi,species
Parathyris,Parathyris cedonulli,species
Tipula,Tipula sp. GTB419DN3026,species
Lolliguncula,Lolliguncula diomedeae,species
Prolimacodes,Prolimacodes badia,species
Philorheithridae,Aphilorheithrus,genus
Mymaridae,Anagrus,genus
Herminiimonas,Herminiimonas arsenicoxydans,species
Philomycus,Philomycus carolinianus,species
Erebidae,Cissusa,genus
Eutelia,Eutelia geyeri,species
Silvestritermes,Silvestritermes euamignathus,species
Neochetina,Neochetina bruchi,species
Allomacrus,Allomacrus arcticus,species
Erebidae,Isanthrene,genus
Coleoptera,Bothrideridae,family
Tvetenia,Tvetenia tamaflava,species
Diaspididae,Unaspis,genus
phyBioLep01,phyBioLep01 BioLep755,species
Megastylus,Megastylus flavopictus,species
Gobiidae,Hazeus,genus
Automeris,Automeris serpina,species
Hemiptera,Margarodidae,family
Amphipoda,Ommatogammaridae,family
Geomydoecus,Geomydoecus coronadoi,species
Taenionema,Taenionema raynorium,species
Psamathia,Psamathia impuncta,species
Cinara,Cinara fornacula,species
Salticidae,Eris,genus
Trichoptera,Lepidostomatidae,family
Lampyridae,Pyrocoelia,genus
Lignyodes,Lignyodes helvolus,species
Mystrium,Mystrium rogeri,species
Tenthredinidae,Monostegia,genus
Crassiclitellata,Diporodrilidae,family
Hydata,Hydata insatisfacta,species
Kakopoda,Kakopoda stygia,species
Pachybela,Pachybela sp. ANIC13,species
Baetidae,Centroptilum,genus
Chamaemyiidae,Neoleucopis,genus
Allocreadiidae,Crepidostomum,genus
Carabus,Carabus semiopacus,species
Chaetostigmoptera,Chaetostigmoptera Malaise9075,species
Puffinus,Puffinus lherminieri,species
Parapoynx,Parapoynx maculalis,species
Braconidae,Choreborogas,genus
Mimaglossa,Mimaglossa zophera,species
Phaenodictyon,Phaenodictyon thenoe,species
Enteromius,Enteromius rubrostigma,species
Hypocala,Hypocala subsatura,species
Donacia,Donacia vulgaris,species
Parasesarma,Parasesarma persicum,species
Scythrididae,Areniscythris,genus
Schizothorax,Schizothorax richardsonii,species
Meragisa,Meragisa politioides,species
Rutilus,Rutilus pigus,species
Notodontidae,Boriza,genus
Decapoda,Epialtidae,family
Thetidia,Thetidia volgaria,species
Muricidae,Mexacanthina,genus
Polyommatus,Polyommatus aserbeidschanus,species
Aphelinidae,Aphytis,genus
Lordithon,Lordithon thoracicus,species
Callipterinella,Callipterinella calliptera,species
Ophientrema,Ophientrema scolopendrica,species
Pareclipsis,Pareclipsis incerta,species
Leiognathidae,Equulites,genus
Blaesoxipha,Blaesoxipha cessator,species
Geomitridae,Helicopsis,genus
Bunaeopsis,Bunaeopsis francottei,species
Pseudopontia,Pseudopontia paradoxa,species
Phuphena,Phuphena multilinea,species
Chirocentridae,Chirocentrus,genus
Geometridae,Urostola,genus
Diadasia,Diadasia chilensis,species
Loricariidae,Schizolecis,genus
